aeroportoPartenza;cittàPartenza;nazionePartenza;aeroportoArrivo;cittàArrivo;nazioneArrivo;compagniaAerea
Sochi;Sochi;Russia;Astrakhan;Astrakhan;Russia;Aerocondor
Sochi;Sochi;Russia;"Nizhny Novgorod";"Nizhniy Novgorod";Russia;Aerocondor
Sochi;Sochi;Russia;Pashkovskiy;Krasnodar;Russia;Aerocondor
Sochi;Sochi;Russia;Kazan;Kazan;Russia;Aerocondor
Sochi;Sochi;Russia;Uytash;Makhachkala;Russia;Aerocondor
Sochi;Sochi;Russia;"Mineralnyye Vody";"Mineralnye Vody";Russia;Aerocondor
Sochi;Sochi;Russia;Begishevo;Nizhnekamsk;Russia;Aerocondor
Sochi;Sochi;Russia;"Rostov Na Donu";Rostov;Russia;Aerocondor
Sochi;Sochi;Russia;"Bugulma Airport";Bugulma;Russia;Aerocondor
Astrakhan;Astrakhan;Russia;Sochi;Sochi;Russia;Aerocondor
Astrakhan;Astrakhan;Russia;Kazan;Kazan;Russia;Aerocondor
Astrakhan;Astrakhan;Russia;Pulkovo;"St. Petersburg";Russia;Aerocondor
Balandino;Chelyabinsk;Russia;Kazan;Kazan;Russia;Aerocondor
Balandino;Chelyabinsk;Russia;Tolmachevo;Novosibirsk;Russia;Aerocondor
Domododevo;Moscow;Russia;Uytash;Makhachkala;Russia;Aerocondor
Domododevo;Moscow;Russia;Begishevo;Nizhnekamsk;Russia;Aerocondor
Domododevo;Moscow;Russia;"Bugulma Airport";Bugulma;Russia;Aerocondor
Gelendzik;Gelendzik;Russia;Kazan;Kazan;Russia;Aerocondor
"Nizhny Novgorod";"Nizhniy Novgorod";Russia;Sochi;Sochi;Russia;Aerocondor
"Heydar Aliyev";Baku;Azerbaijan;Sochi;Sochi;Russia;Aerocondor
"Heydar Aliyev";Baku;Azerbaijan;Begishevo;Nizhnekamsk;Russia;Aerocondor
"Boryspil Intl";Kiev;Ukraine;Kazan;Kazan;Russia;Aerocondor
Pashkovskiy;Krasnodar;Russia;Sochi;Sochi;Russia;Aerocondor
Pashkovskiy;Krasnodar;Russia;Kazan;Kazan;Russia;Aerocondor
Kurumoch;Samara;Russia;"Mineralnyye Vody";"Mineralnye Vody";Russia;Aerocondor
Kazan;Kazan;Russia;Sochi;Sochi;Russia;Aerocondor
Kazan;Kazan;Russia;Astrakhan;Astrakhan;Russia;Aerocondor
Kazan;Kazan;Russia;Balandino;Chelyabinsk;Russia;Aerocondor
Kazan;Kazan;Russia;Gelendzik;Gelendzik;Russia;Aerocondor
Kazan;Kazan;Russia;"Boryspil Intl";Kiev;Ukraine;Aerocondor
Kazan;Kazan;Russia;Pashkovskiy;Krasnodar;Russia;Aerocondor
Kazan;Kazan;Russia;Pulkovo;"St. Petersburg";Russia;Aerocondor
Kazan;Kazan;Russia;"Mineralnyye Vody";"Mineralnye Vody";Russia;Aerocondor
Kazan;Kazan;Russia;"Franz Josef Strauss";Munich;Germany;Aerocondor
Kazan;Kazan;Russia;"Bolshoye Savino";Perm;Russia;Aerocondor
Kazan;Kazan;Russia;"Simferopol Intl";Simferopol;Ukraine;Aerocondor
Pulkovo;"St. Petersburg";Russia;Astrakhan;Astrakhan;Russia;Aerocondor
Pulkovo;"St. Petersburg";Russia;Kazan;Kazan;Russia;Aerocondor
Pulkovo;"St. Petersburg";Russia;Uytash;Makhachkala;Russia;Aerocondor
Pulkovo;"St. Petersburg";Russia;Begishevo;Nizhnekamsk;Russia;Aerocondor
Pulkovo;"St. Petersburg";Russia;"Bugulma Airport";Bugulma;Russia;Aerocondor
Uytash;Makhachkala;Russia;Sochi;Sochi;Russia;Aerocondor
Uytash;Makhachkala;Russia;Domododevo;Moscow;Russia;Aerocondor
Uytash;Makhachkala;Russia;Pulkovo;"St. Petersburg";Russia;Aerocondor
Uytash;Makhachkala;Russia;"Mineralnyye Vody";"Mineralnye Vody";Russia;Aerocondor
"Mineralnyye Vody";"Mineralnye Vody";Russia;Sochi;Sochi;Russia;Aerocondor
"Mineralnyye Vody";"Mineralnye Vody";Russia;Kurumoch;Samara;Russia;Aerocondor
"Mineralnyye Vody";"Mineralnye Vody";Russia;Kazan;Kazan;Russia;Aerocondor
"Mineralnyye Vody";"Mineralnye Vody";Russia;Uytash;Makhachkala;Russia;Aerocondor
"Franz Josef Strauss";Munich;Germany;Kazan;Kazan;Russia;Aerocondor
Begishevo;Nizhnekamsk;Russia;Sochi;Sochi;Russia;Aerocondor
Begishevo;Nizhnekamsk;Russia;Domododevo;Moscow;Russia;Aerocondor
Begishevo;Nizhnekamsk;Russia;"Heydar Aliyev";Baku;Azerbaijan;Aerocondor
Begishevo;Nizhnekamsk;Russia;Pulkovo;"St. Petersburg";Russia;Aerocondor
Begishevo;Nizhnekamsk;Russia;"Simferopol Intl";Simferopol;Ukraine;Aerocondor
Nizhnevartovsk;Nizhnevartovsk;Russia;"Bugulma Airport";Bugulma;Russia;Aerocondor
Tolmachevo;Novosibirsk;Russia;Balandino;Chelyabinsk;Russia;Aerocondor
"Bolshoye Savino";Perm;Russia;Kazan;Kazan;Russia;Aerocondor
"Rostov Na Donu";Rostov;Russia;Sochi;Sochi;Russia;Aerocondor
