aeroportoPartenza;cittàPartenza;nazionePartenza;aeroportoArrivo;cittàArrivo;nazioneArrivo;compagniaAerea
Astrakhan;Astrakhan;Russia;Pulkovo;"St. Petersburg";Russia;Aerocondor
Kazan;Kazan;Russia;"Boryspil Intl";Kiev;Ukraine;Aerocondor
Kazan;Kazan;Russia;Pulkovo;"St. Petersburg";Russia;Aerocondor
Kazan;Kazan;Russia;"Franz Josef Strauss";Munich;Germany;Aerocondor
Uytash;Makhachkala;Russia;Domododevo;Moscow;Russia;Aerocondor
Uytash;Makhachkala;Russia;Pulkovo;"St. Petersburg";Russia;Aerocondor
Begishevo;Nizhnekamsk;Russia;Domododevo;Moscow;Russia;Aerocondor
Begishevo;Nizhnekamsk;Russia;"Heydar Aliyev";Baku;Azerbaijan;Aerocondor
Begishevo;Nizhnekamsk;Russia;Pulkovo;"St. Petersburg";Russia;Aerocondor
"Bugulma Airport";Bugulma;Russia;Domododevo;Moscow;Russia;Aerocondor
"Bugulma Airport";Bugulma;Russia;Pulkovo;"St. Petersburg";Russia;Aerocondor
Ouagadougou;Ouagadougou;"Burkina Faso";"Kotoka Intl";Accra;Ghana;"Air Burkina"
Antalya;Antalya;Turkey;"Geneve Cointrin";Geneva;Switzerland;"Helvetic Airways"
Casale;Brindisi;Italy;Zurich;Zurich;Switzerland;"Helvetic Airways"
Bari;Bari;Italy;Zurich;Zurich;Switzerland;"Helvetic Airways"
"Bern Belp";Bern;Switzerland;"Catania Fontanarossa";Catania;Italy;"Helvetic Airways"
"Bern Belp";Bern;Switzerland;"Son Sant Joan";"Palma de Mallorca";Spain;"Helvetic Airways"
Bristol;Bristol;"United Kingdom";Zurich;Zurich;Switzerland;"Helvetic Airways"
"Saint Catherine";Calvi;France;Zurich;Zurich;Switzerland;"Helvetic Airways"
Fuerteventura;Fuerteventura;Spain;"Geneve Cointrin";Geneva;Switzerland;"Helvetic Airways"
"Geneve Cointrin";Geneva;Switzerland;Lanzarote;"Las Palmas";Spain;"Helvetic Airways"
"Geneve Cointrin";Geneva;Switzerland;Larnaca;Larnaca;Cyprus;"Helvetic Airways"
"Heringsdorf Airport";Heringsdorf;Germany;Zurich;Zurich;Switzerland;"Helvetic Airways"
"Nikos Kazantzakis";Heraklion;Greece;"Geneve Cointrin";Geneva;Switzerland;"Helvetic Airways"
Inverness;Inverness;"United Kingdom";Zurich;Zurich;Switzerland;"Helvetic Airways"
